epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.455,2.82173,6.22783,2.08229,0,0,0,0,nan,nan,nan,0.00325203,0.00325203,0.0707317
2,19.8744,2.94672,2.97335,2.20403,0,0,0,0,nan,nan,nan,0.00652017,0.00652017,0.0406665
3,28.606,2.80704,2.62921,2.08539,0.00053,0.13978,0.00033,8e-05,3.87512,5.20749,4.08509,0.00972231,0.00972231,0.0105353
4,37.44,2.67348,2.52925,2.00264,0.03741,0.10753,0.01201,0.00217,3.41766,16.9973,3.22433,0.009703,0.009703,0.009703
5,45.5675,2.59342,2.43438,1.94829,0.06347,0.17204,0.03825,0.00878,3.02426,4.87469,2.35817,0.009604,0.009604,0.009604
6,54.3775,2.57603,2.34882,1.92435,0.04604,0.11828,0.01908,0.00553,3.20839,3.91328,2.44855,0.009505,0.009505,0.009505
7,63.1241,2.43817,2.23814,1.86612,0.3456,0.22581,0.16813,0.04863,2.6914,3.4557,2.12369,0.009406,0.009406,0.009406
8,71.7508,2.38225,2.08416,1.81006,0.50314,0.36559,0.3627,0.15091,2.23179,2.24922,1.85473,0.009307,0.009307,0.009307
9,79.9651,2.33743,2.06771,1.78294,0.17962,0.01075,0.00903,0.00437,3.92261,5.5626,2.70247,0.009208,0.009208,0.009208
10,88.7376,2.3572,2.06698,1.78023,0.24287,0.09677,0.07311,0.02191,3.14024,4.24164,2.27916,0.009109,0.009109,0.009109
11,97.5204,2.28002,2.00038,1.76336,0.08268,0.03226,0.00689,0.00187,3.39791,5.24294,2.43244,0.00901,0.00901,0.00901
12,109.085,2.37091,2.07535,1.82643,0.42801,0.33333,0.31069,0.1031,2.42719,2.1447,1.92629,0.008911,0.008911,0.008911
13,121.672,2.35683,2.15134,1.82664,0.23541,0.15054,0.1524,0.0404,2.75246,3.10821,2.10535,0.008812,0.008812,0.008812
14,132.418,2.22291,1.94559,1.75934,0.26254,0.17204,0.0758,0.02223,2.89831,3.20466,2.42687,0.008713,0.008713,0.008713
15,148.921,2.27768,1.99298,1.78062,0.35219,0.35484,0.28251,0.10695,2.34441,2.09097,1.88367,0.008614,0.008614,0.008614
16,167.404,2.22131,1.89322,1.67872,0.15393,0.17204,0.09947,0.02636,2.56876,2.88866,2.04476,0.008515,0.008515,0.008515
17,184.466,2.18488,1.90695,1.69747,0.36457,0.1828,0.1999,0.06936,2.37549,2.66603,1.94094,0.008416,0.008416,0.008416
18,201.068,2.21144,1.88109,1.73522,0.48356,0.36559,0.44038,0.18564,2.17292,2.11312,1.77985,0.008317,0.008317,0.008317
19,218.341,2.19435,1.80242,1.711,0.38167,0.41153,0.41816,0.16243,2.18413,1.94907,1.77986,0.008218,0.008218,0.008218
20,236.446,2.16128,1.81313,1.67503,0.43497,0.24834,0.25219,0.10973,2.35428,2.44076,1.88149,0.008119,0.008119,0.008119
21,252.83,2.20485,1.88316,1.73214,0.3379,0.4086,0.30364,0.11,2.2918,2.06028,1.89596,0.00802,0.00802,0.00802
22,270.834,2.13937,1.79631,1.68431,0.46406,0.37634,0.36569,0.13721,2.25186,2.27899,1.84138,0.007921,0.007921,0.007921
23,288.202,2.0756,1.7187,1.64886,0.66845,0.39026,0.50184,0.2155,2.09165,1.79914,1.70171,0.007822,0.007822,0.007822
24,303.607,2.08702,1.76536,1.62957,0.65054,0.43011,0.49068,0.20649,2.12627,1.90779,1.72333,0.007723,0.007723,0.007723
25,322.801,2.09299,1.66074,1.61137,0.58062,0.43173,0.45974,0.17362,2.25786,2.00153,1.80027,0.007624,0.007624,0.007624
26,339.774,2.09015,1.69029,1.61499,0.59886,0.55914,0.56494,0.2377,2.04204,1.62989,1.65282,0.007525,0.007525,0.007525
27,356.018,2.09159,1.709,1.62472,0.46481,0.35487,0.37284,0.15877,2.22902,2.2577,1.80744,0.007426,0.007426,0.007426
28,374.592,2.08501,1.69718,1.64765,0.48612,0.46237,0.46048,0.16169,2.19315,1.88645,1.78426,0.007327,0.007327,0.007327
29,389.835,2.02699,1.65694,1.59067,0.70164,0.53106,0.57584,0.24731,2.05376,1.77131,1.66739,0.007228,0.007228,0.007228
30,407.222,1.99387,1.64035,1.57592,0.71767,0.49462,0.57025,0.25038,2.08739,1.84154,1.66464,0.007129,0.007129,0.007129
31,425.818,1.96207,1.60272,1.55391,0.64151,0.50538,0.57178,0.26528,1.9711,1.52996,1.62556,0.00703,0.00703,0.00703
32,442.282,1.95781,1.55172,1.54173,0.60323,0.53763,0.56589,0.24029,2.06537,1.72408,1.68201,0.006931,0.006931,0.006931
33,459.491,1.95967,1.54148,1.55237,0.553,0.46561,0.4804,0.21208,2.12505,1.99795,1.70707,0.006832,0.006832,0.006832
34,476.478,2.02629,1.63101,1.62888,0.48572,0.39785,0.35326,0.13741,2.27242,2.17077,1.82351,0.006733,0.006733,0.006733
