epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4161,2.48074,2.5114,1.62193,0.05562,0.14875,0.02226,0.00753,2.75649,8.262,2.12504,0.00330623,0.00330623,0.0702439
2,73.2853,2.45873,1.96699,1.62624,0.16549,0.16308,0.09635,0.02552,2.96144,3.90609,2.01397,0.00657383,0.00657383,0.0401782
3,116.358,2.35571,1.9208,1.58776,0.03297,0.2957,0.02319,0.00836,2.67229,6.69765,2.19308,0.00977544,0.00977544,0.0100464
4,159.004,2.33288,1.79358,1.52564,0.39476,0.29928,0.26354,0.09637,2.67072,2.96618,1.7801,0.009703,0.009703,0.009703
5,201.797,2.15565,1.64448,1.47341,0.46064,0.29211,0.33879,0.13045,2.39682,2.1401,1.65794,0.009604,0.009604,0.009604
6,244.029,2.23134,1.61437,1.49685,0.4563,0.36022,0.3491,0.1416,2.54373,2.39451,1.81999,0.009505,0.009505,0.009505
7,289.376,2.11028,1.52145,1.45043,0.46219,0.43011,0.39805,0.16421,2.25714,1.88659,1.56592,0.009406,0.009406,0.009406
8,333.159,2.11112,1.54799,1.43351,0.31843,0.319,0.26296,0.1112,2.53275,2.51918,1.70505,0.009307,0.009307,0.009307
9,375.446,2.01007,1.44263,1.38647,0.55604,0.39964,0.38504,0.17241,2.23329,1.9991,1.55502,0.009208,0.009208,0.009208
10,417.891,1.99878,1.3884,1.35777,0.68972,0.53405,0.59543,0.22699,2.14311,1.61074,1.46396,0.009109,0.009109,0.009109
11,460.585,2.0097,1.37931,1.36116,0.73643,0.54579,0.66384,0.2779,2.09387,1.37428,1.46304,0.00901,0.00901,0.00901
12,503.166,1.95564,1.35587,1.3415,0.68138,0.53943,0.60181,0.26732,2.05184,1.4171,1.44287,0.008911,0.008911,0.008911
13,548.698,1.9043,1.2868,1.33401,0.71239,0.59483,0.68121,0.28791,2.06899,1.38746,1.43223,0.008812,0.008812,0.008812
14,594.169,1.90409,1.27867,1.31003,0.68635,0.45161,0.5387,0.22406,2.11406,1.72112,1.44924,0.008713,0.008713,0.008713
15,636.693,1.90913,1.26885,1.30747,0.74012,0.56141,0.66516,0.31441,1.94412,1.27287,1.42196,0.008614,0.008614,0.008614
16,679.513,1.83578,1.21496,1.29146,0.65752,0.51434,0.5911,0.27525,1.98603,1.52979,1.42204,0.008515,0.008515,0.008515
17,721.793,1.8233,1.22374,1.28662,0.59577,0.55996,0.54208,0.19823,2.25139,1.57761,1.59793,0.008416,0.008416,0.008416
18,765.511,1.81574,1.20563,1.28141,0.72346,0.60215,0.68247,0.30697,1.99374,1.2634,1.41953,0.008317,0.008317,0.008317
19,808.352,1.82054,1.21556,1.28274,0.77603,0.60932,0.73166,0.34879,1.91613,1.2691,1.3808,0.008218,0.008218,0.008218
20,853.88,1.8054,1.14368,1.25977,0.73406,0.65792,0.70833,0.31408,2.0101,1.29383,1.41131,0.008119,0.008119,0.008119
21,896.433,1.75417,1.11983,1.25837,0.77669,0.61084,0.7024,0.32502,1.96598,1.29891,1.41453,0.00802,0.00802,0.00802
22,940.226,1.74325,1.10472,1.24993,0.76509,0.56631,0.64933,0.27607,2.10185,1.58699,1.45419,0.007921,0.007921,0.007921
23,981.577,1.73487,1.1113,1.24963,0.81027,0.68817,0.78647,0.38689,1.81189,1.08421,1.32722,0.007822,0.007822,0.007822
24,1024.66,1.70333,1.04752,1.21322,0.82277,0.59902,0.71742,0.31718,2.00877,1.2828,1.4249,0.007723,0.007723,0.007723
25,1060.99,1.68018,1.04853,1.22239,0.61867,0.46774,0.52439,0.22213,2.21768,1.84008,1.52901,0.007624,0.007624,0.007624
26,1098.37,1.69479,1.07302,1.22912,0.79775,0.74194,0.80023,0.3721,1.93336,1.16331,1.38833,0.007525,0.007525,0.007525
27,1133.22,1.63375,1.02758,1.19802,0.78038,0.58781,0.70085,0.31545,1.99452,1.42878,1.43094,0.007426,0.007426,0.007426
28,1168.18,1.67652,1.05336,1.21479,0.75804,0.66253,0.71516,0.30673,1.99374,1.20377,1.43285,0.007327,0.007327,0.007327
29,1202.54,1.62021,0.99994,1.19522,0.67056,0.62545,0.64514,0.25946,2.13237,1.35172,1.50925,0.007228,0.007228,0.007228
30,1237.84,1.60946,0.97036,1.18531,0.80562,0.60753,0.73238,0.34267,1.93207,1.216,1.42361,0.007129,0.007129,0.007129
31,1271.7,1.64686,0.99301,1.19872,0.77847,0.64236,0.72391,0.32822,2.00747,1.20897,1.44187,0.00703,0.00703,0.00703
32,1308.05,1.60581,0.98178,1.18823,0.84688,0.5947,0.71073,0.33521,1.95827,1.28405,1.41358,0.006931,0.006931,0.006931
33,1344.4,1.59523,0.97771,1.17982,0.75079,0.64875,0.70574,0.30317,2.1412,1.32618,1.51487,0.006832,0.006832,0.006832
34,1378.25,1.59793,0.97163,1.17808,0.83284,0.6828,0.77061,0.39303,1.8241,1.16094,1.34571,0.006733,0.006733,0.006733
35,1413.12,1.59488,0.95174,1.16606,0.76953,0.71806,0.75875,0.37842,1.85784,1.15242,1.38138,0.006634,0.006634,0.006634
36,1440.02,1.55683,0.90317,1.15881,0.77085,0.6752,0.72174,0.32609,2.02843,1.30857,1.44417,0.006535,0.006535,0.006535
37,1460.81,1.55656,0.94181,1.15405,0.77179,0.71326,0.78384,0.38576,1.81112,1.06866,1.31189,0.006436,0.006436,0.006436
38,1483.43,1.55547,0.91141,1.163,0.74754,0.6633,0.75516,0.35646,1.98571,1.12085,1.43317,0.006337,0.006337,0.006337
39,1503.71,1.50308,0.89238,1.14097,0.83251,0.70609,0.79698,0.3874,1.90661,1.02397,1.40248,0.006238,0.006238,0.006238
40,1523.92,1.50149,0.86587,1.13793,0.74991,0.76523,0.78786,0.41331,1.82677,1.02782,1.37132,0.006139,0.006139,0.006139
41,1543.7,1.50563,0.87283,1.13107,0.79239,0.6828,0.74449,0.34549,2.01423,1.12639,1.41427,0.00604,0.00604,0.00604
42,1565.31,1.50696,0.87995,1.1467,0.79395,0.72581,0.80975,0.41721,1.81215,1.06266,1.32044,0.005941,0.005941,0.005941
43,1587.19,1.40909,0.80439,1.1098,0.82619,0.71685,0.79644,0.37412,1.95544,1.07236,1.42159,0.005842,0.005842,0.005842
44,1607.41,1.40449,0.82043,1.09742,0.80141,0.71505,0.7867,0.40178,1.81645,1.0642,1.35672,0.005743,0.005743,0.005743
45,1627.89,1.42507,0.80993,1.10484,0.79367,0.7491,0.81336,0.3959,1.84456,0.96949,1.3733,0.005644,0.005644,0.005644
46,1647.62,1.46153,0.84317,1.11696,0.8459,0.69846,0.82532,0.40085,1.87704,1.0044,1.36147,0.005545,0.005545,0.005545
47,1669.8,1.42829,0.82738,1.11164,0.66835,0.54839,0.57928,0.24059,2.11202,1.58143,1.47845,0.005446,0.005446,0.005446
