epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1225.69,1.50589,0.93302,1.27218,0.81345,0.70968,0.76171,0.38422,1.90899,1.13384,1.54962,0.005743,0.005743,0.005743
45,1258.09,1.51783,0.95659,1.28203,0.87711,0.71147,0.80735,0.41738,1.827,1.07168,1.54305,0.005644,0.005644,0.005644
46,1291.63,1.4874,0.90807,1.2643,0.84612,0.74552,0.80273,0.4198,1.80186,1.00488,1.49707,0.005545,0.005545,0.005545
47,1325.78,1.49323,0.91704,1.26794,0.84065,0.68996,0.751,0.37013,1.96692,1.17963,1.60559,0.005446,0.005446,0.005446
48,1358.55,1.51766,0.96603,1.27731,0.83657,0.73656,0.79632,0.40426,1.85622,1.05109,1.57207,0.005347,0.005347,0.005347
49,1391.33,1.47361,0.89814,1.25719,0.7955,0.72043,0.7809,0.4015,1.85653,1.06291,1.55734,0.005248,0.005248,0.005248
50,1424.12,1.49469,0.91769,1.28044,0.85521,0.74096,0.81194,0.40441,1.86494,1.0824,1.57623,0.005149,0.005149,0.005149
51,1456.57,1.45374,0.8988,1.26202,0.82252,0.68638,0.77093,0.42171,1.73658,1.11277,1.47039,0.00505,0.00505,0.00505
52,1490.41,1.46291,0.90821,1.25133,0.83366,0.7276,0.80307,0.38413,1.87751,1.13104,1.60803,0.004951,0.004951,0.004951
53,1524.72,1.44676,0.88303,1.24529,0.80459,0.70251,0.76897,0.37789,1.91734,1.1159,1.60834,0.004852,0.004852,0.004852
54,1557.26,1.40527,0.8686,1.23032,0.76724,0.71685,0.78336,0.39858,1.87116,1.07713,1.56937,0.004753,0.004753,0.004753
55,1589.75,1.40214,0.85377,1.2241,0.82975,0.71505,0.80019,0.39625,1.84296,1.10244,1.59075,0.004654,0.004654,0.004654
56,1622.53,1.41569,0.8706,1.24479,0.8003,0.66794,0.76198,0.38203,1.89297,1.21859,1.55934,0.004555,0.004555,0.004555
57,1655.2,1.38543,0.82911,1.22187,0.86934,0.75117,0.80984,0.42677,1.81162,0.95167,1.5512,0.004456,0.004456,0.004456
58,1688.89,1.40134,0.8357,1.22259,0.73011,0.72939,0.77986,0.38173,1.92582,1.19057,1.63374,0.004357,0.004357,0.004357
59,1722.77,1.39399,0.82276,1.21267,0.8103,0.78081,0.82423,0.42163,1.80819,1.00507,1.52267,0.004258,0.004258,0.004258
60,1755.45,1.38526,0.82795,1.20799,0.85871,0.67384,0.77694,0.41657,1.76719,1.0318,1.51735,0.004159,0.004159,0.004159
61,1788.31,1.36122,0.82015,1.20865,0.82904,0.75806,0.82679,0.43372,1.79008,0.99328,1.52989,0.00406,0.00406,0.00406
62,1821.11,1.35424,0.79521,1.21157,0.80021,0.79211,0.82558,0.42657,1.80126,1.03118,1.52981,0.003961,0.003961,0.003961
63,1853.82,1.368,0.80892,1.20242,0.84356,0.72939,0.80657,0.40793,1.79964,1.07422,1.5306,0.003862,0.003862,0.003862
64,1888.56,1.34271,0.78014,1.19284,0.82399,0.73828,0.79816,0.43094,1.77348,1.01145,1.51932,0.003763,0.003763,0.003763
65,1923.85,1.29683,0.74766,1.17429,0.82335,0.79749,0.83423,0.43487,1.83737,0.97229,1.55922,0.003664,0.003664,0.003664
66,1957.5,1.32161,0.75992,1.18594,0.80502,0.75986,0.79871,0.38935,1.7835,1.0359,1.51441,0.003565,0.003565,0.003565
67,1990.87,1.3152,0.75989,1.18989,0.84723,0.75535,0.82633,0.42928,1.85424,0.97823,1.56542,0.003466,0.003466,0.003466
68,2024.75,1.32294,0.75926,1.17966,0.85924,0.75986,0.83867,0.4288,1.79679,0.96553,1.51623,0.003367,0.003367,0.003367
69,2057.54,1.30514,0.75754,1.17848,0.89074,0.73297,0.83687,0.44329,1.71442,0.9836,1.47981,0.003268,0.003268,0.003268
