epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4716.07,1.09735,0.7095,0.91354,0.80086,0.7098,0.77587,0.46205,1.39555,0.9692,1.04649,0.005842,0.005842,0.005842
44,4760.84,1.08566,0.70015,0.90399,0.79477,0.71289,0.78582,0.475,1.37581,0.97186,1.04071,0.005743,0.005743,0.005743
45,4805.6,1.08662,0.7,0.90702,0.79079,0.75311,0.78914,0.46695,1.37947,0.96605,1.04756,0.005644,0.005644,0.005644
46,4850.38,1.05855,0.67073,0.90146,0.78619,0.76448,0.77257,0.46209,1.39346,1.01374,1.04968,0.005545,0.005545,0.005545
47,4895.02,1.06581,0.67527,0.90363,0.77717,0.72133,0.75818,0.46225,1.39448,0.98142,1.04875,0.005446,0.005446,0.005446
48,4939.66,1.05709,0.66281,0.90047,0.81674,0.72496,0.78683,0.47129,1.37849,0.95224,1.0434,0.005347,0.005347,0.005347
49,4984.44,1.05126,0.66454,0.89981,0.80612,0.73687,0.79399,0.4728,1.37893,0.97634,1.04141,0.005248,0.005248,0.005248
50,5029.1,1.02977,0.64868,0.89382,0.83031,0.72009,0.7916,0.4757,1.38615,0.96466,1.05141,0.005149,0.005149,0.005149
51,5073.93,1.0278,0.64199,0.89381,0.80223,0.75109,0.78547,0.47236,1.37106,0.96361,1.04911,0.00505,0.00505,0.00505
52,5118.66,1.02689,0.65116,0.89366,0.81247,0.72821,0.79023,0.47179,1.41071,0.95188,1.06368,0.004951,0.004951,0.004951
53,5163.3,1.01682,0.62921,0.88876,0.7855,0.73954,0.78788,0.47188,1.39732,0.95267,1.05271,0.004852,0.004852,0.004852
54,5208.2,1.00764,0.63209,0.88771,0.81678,0.70479,0.77521,0.47249,1.39753,0.98678,1.05519,0.004753,0.004753,0.004753
55,5252.98,1.00225,0.6225,0.88375,0.80765,0.732,0.78222,0.47456,1.42902,0.96608,1.07048,0.004654,0.004654,0.004654
56,5297.76,0.98738,0.60839,0.88091,0.75268,0.7634,0.79326,0.47678,1.40316,0.99508,1.06534,0.004555,0.004555,0.004555
57,5342.58,0.98204,0.60497,0.88019,0.81175,0.72442,0.79412,0.4822,1.37155,0.96798,1.05443,0.004456,0.004456,0.004456
58,5387.33,0.98631,0.60311,0.88228,0.79654,0.71576,0.77516,0.47013,1.38335,0.97259,1.06675,0.004357,0.004357,0.004357
59,5431.96,0.97347,0.5977,0.87937,0.80598,0.72442,0.78384,0.47768,1.37087,0.94755,1.06043,0.004258,0.004258,0.004258
60,5476.69,0.95886,0.58357,0.87753,0.7812,0.75744,0.79017,0.47233,1.39594,0.96617,1.0669,0.004159,0.004159,0.004159
61,5521.38,0.96089,0.59117,0.87946,0.76912,0.7611,0.79051,0.47938,1.41424,0.94535,1.07507,0.00406,0.00406,0.00406
62,5566.08,0.95856,0.58442,0.87553,0.79546,0.73525,0.7906,0.47404,1.40505,0.9576,1.07382,0.003961,0.003961,0.003961
63,5610.93,0.95232,0.58304,0.87465,0.77956,0.7697,0.80381,0.48518,1.39425,0.95627,1.06513,0.003862,0.003862,0.003862
64,5655.69,0.9333,0.5629,0.87025,0.83132,0.72843,0.79844,0.48527,1.39812,0.9312,1.07102,0.003763,0.003763,0.003763
65,5700.39,0.93185,0.56137,0.86925,0.79621,0.75311,0.79523,0.48202,1.41899,0.98662,1.08032,0.003664,0.003664,0.003664
66,5745.16,0.93041,0.56148,0.87086,0.77905,0.74716,0.7921,0.47747,1.42134,0.97472,1.0824,0.003565,0.003565,0.003565
67,5789.83,0.9116,0.55359,0.87016,0.7796,0.74113,0.79782,0.47618,1.42594,0.98866,1.08244,0.003466,0.003466,0.003466
68,5834.52,0.91565,0.54973,0.86727,0.81157,0.72713,0.79216,0.47749,1.40662,0.98354,1.07584,0.003367,0.003367,0.003367
69,5879.34,0.89821,0.53474,0.86238,0.78367,0.73308,0.78005,0.4697,1.41143,0.99972,1.08006,0.003268,0.003268,0.003268
70,5923.99,0.89199,0.53834,0.8612,0.83168,0.72231,0.79744,0.47964,1.40565,0.93293,1.07669,0.003169,0.003169,0.003169
71,5968.74,0.89414,0.53485,0.86393,0.78772,0.76344,0.80066,0.48447,1.40382,0.95963,1.08795,0.00307,0.00307,0.00307
72,6013.44,0.88538,0.53074,0.85897,0.79735,0.72854,0.78634,0.48782,1.39484,0.96369,1.0804,0.002971,0.002971,0.002971
73,6058.16,0.88131,0.52609,0.85881,0.81172,0.72604,0.79664,0.49254,1.39189,0.94556,1.07948,0.002872,0.002872,0.002872
74,6102.98,0.86096,0.51396,0.8569,0.78665,0.7569,0.79791,0.48666,1.40085,0.94209,1.07756,0.002773,0.002773,0.002773
75,6147.66,0.86466,0.51431,0.85613,0.78074,0.75959,0.79554,0.48671,1.39248,0.96477,1.07104,0.002674,0.002674,0.002674
76,6192.37,0.85483,0.50954,0.85265,0.79516,0.75528,0.80085,0.48696,1.4096,0.95542,1.08617,0.002575,0.002575,0.002575
77,6237.11,0.8457,0.50361,0.85009,0.80936,0.73362,0.80209,0.48836,1.40427,0.95975,1.07876,0.002476,0.002476,0.002476
78,6281.8,0.83875,0.49433,0.85066,0.81708,0.7412,0.80376,0.49083,1.40233,0.95131,1.07431,0.002377,0.002377,0.002377
79,6326.53,0.84196,0.49595,0.85117,0.78454,0.75474,0.80401,0.49337,1.40204,0.95521,1.07324,0.002278,0.002278,0.002278
80,6371.3,0.82462,0.48533,0.85116,0.77046,0.77044,0.80477,0.49022,1.40281,0.95761,1.0762,0.002179,0.002179,0.002179
81,6415.98,0.83324,0.48307,0.84849,0.78002,0.7634,0.80291,0.49334,1.41225,0.95845,1.08103,0.00208,0.00208,0.00208
82,6460.8,0.82183,0.48928,0.84769,0.8188,0.72418,0.80045,0.49384,1.41213,0.96294,1.08388,0.001981,0.001981,0.001981
83,6505.47,0.81553,0.4802,0.84632,0.85595,0.70655,0.80315,0.49622,1.41328,0.95051,1.08706,0.001882,0.001882,0.001882
84,6550.17,0.80932,0.47384,0.8432,0.83875,0.72095,0.80263,0.49188,1.40595,0.94529,1.08121,0.001783,0.001783,0.001783
85,6594.89,0.79949,0.46902,0.84308,0.81339,0.72875,0.80322,0.49684,1.40287,0.94152,1.07721,0.001684,0.001684,0.001684
86,6639.7,0.78773,0.45646,0.84247,0.83514,0.71312,0.80116,0.49112,1.40225,0.96195,1.07792,0.001585,0.001585,0.001585
87,6684.35,0.79285,0.46354,0.84215,0.82149,0.72713,0.80092,0.49193,1.40951,0.95519,1.08215,0.001486,0.001486,0.001486
88,6729.11,0.78052,0.45566,0.84086,0.8234,0.71792,0.79567,0.48636,1.41133,0.9723,1.0877,0.001387,0.001387,0.001387
89,6773.79,0.78222,0.45106,0.84187,0.78926,0.75311,0.79708,0.48895,1.40557,0.96843,1.08452,0.001288,0.001288,0.001288
90,6818.55,0.76734,0.44896,0.83765,0.7845,0.76286,0.79734,0.49109,1.39998,0.9681,1.08465,0.001189,0.001189,0.001189
91,6863.74,0.76843,0.43651,0.84202,0.79264,0.75799,0.7984,0.49141,1.40176,0.9629,1.08802,0.00109,0.00109,0.00109
92,6908.26,0.74939,0.42373,0.83408,0.8006,0.75651,0.7955,0.48958,1.40152,0.96713,1.08501,0.000991,0.000991,0.000991
93,6952.76,0.73839,0.41508,0.83357,0.78908,0.7634,0.79915,0.48775,1.40848,0.9694,1.09051,0.000892,0.000892,0.000892
94,6997.32,0.72581,0.40796,0.83271,0.79591,0.75587,0.79859,0.48997,1.41252,0.97299,1.09383,0.000793,0.000793,0.000793
95,7041.87,0.72467,0.408,0.8303,0.78846,0.77098,0.79654,0.49184,1.41825,0.97408,1.09779,0.000694,0.000694,0.000694
96,7086.51,0.7141,0.40262,0.82996,0.79282,0.77073,0.80238,0.49507,1.42428,0.97491,1.10137,0.000595,0.000595,0.000595
97,7131.03,0.71239,0.39749,0.82888,0.79307,0.77189,0.79876,0.49289,1.42997,0.97719,1.10596,0.000496,0.000496,0.000496
98,7175.52,0.70432,0.39747,0.82901,0.79756,0.76574,0.79521,0.49025,1.42839,0.9777,1.10712,0.000397,0.000397,0.000397
99,7220.17,0.69387,0.38903,0.82687,0.79513,0.76448,0.79562,0.48986,1.43222,0.98113,1.11089,0.000298,0.000298,0.000298
100,7264.66,0.68387,0.38474,0.82324,0.79841,0.76719,0.79606,0.48968,1.43588,0.97764,1.11251,0.000199,0.000199,0.000199
