epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1286,5.01307,7.51521,3.55611,0,0,0,0,2.97903,25.533,8.60012,0.0702439,0.00330623,0.00330623
2,66.876,4.8855,4.89588,3.53494,0.02823,0.01792,0.00532,0.00201,5.2215,inf,4.34837,0.0401782,0.00657383,0.00657383
3,124.18,4.85059,4.88896,3.56535,0.13766,0.16667,0.05502,0.0139,5.38696,8.75177,4.18801,0.0100464,0.00977544,0.00977544
4,183.473,4.59539,4.44907,3.3561,0.11065,0.0448,0.0206,0.00609,5.81841,7.73408,4.47098,0.009703,0.009703,0.009703
5,237.994,4.48708,4.37974,3.34595,0.32257,0.15412,0.14854,0.05058,4.93918,6.78758,3.80241,0.009604,0.009604,0.009604
6,297.138,4.38103,4.06008,3.22822,0.37217,0.32975,0.28762,0.11555,4.24048,4.60123,3.36709,0.009505,0.009505,0.009505
7,356.483,4.2699,3.92916,3.16928,0.40034,0.38889,0.38711,0.15529,4.14273,4.08863,3.37829,0.009406,0.009406,0.009406
8,414.235,4.22727,3.85072,3.15424,0.37339,0.44624,0.31292,0.12293,4.59827,4.29532,3.63857,0.009307,0.009307,0.009307
9,470.973,4.08204,3.5953,3.04202,0.4165,0.36559,0.36201,0.15187,4.85216,4.10395,4.4113,0.009208,0.009208,0.009208
10,528.938,4.05612,3.56814,3.00244,0.3561,0.30466,0.2504,0.10218,4.6195,6.62425,3.58345,0.009109,0.009109,0.009109
11,588.707,4.12044,3.58064,3.05147,0.5315,0.49642,0.52566,0.21433,3.84555,3.67725,3.14789,0.00901,0.00901,0.00901
12,644.021,3.94151,3.4408,2.95552,0.55904,0.53619,0.54707,0.24322,3.83351,3.31987,3.15072,0.008911,0.008911,0.008911
13,703.336,3.7797,3.17683,2.89143,0.6077,0.46361,0.49982,0.20825,4.05336,3.49189,3.2221,0.008812,0.008812,0.008812
14,760.64,3.85464,3.1753,2.88212,0.48679,0.39606,0.39991,0.16463,4.38744,4.45807,3.39506,0.008713,0.008713,0.008713
15,821.081,3.79215,3.11829,2.86174,0.56683,0.50538,0.50639,0.19271,4.19404,3.59594,3.41889,0.008614,0.008614,0.008614
16,874.377,3.78049,3.07766,2.86489,0.56819,0.48208,0.51673,0.22165,4.09057,3.62969,3.20742,0.008515,0.008515,0.008515
17,934.452,3.7423,3.01274,2.8399,0.46935,0.28315,0.33642,0.13465,4.59261,5.1746,3.47343,0.008416,0.008416,0.008416
18,991.465,3.72721,2.95324,2.82912,0.55851,0.319,0.34749,0.12038,4.67136,4.37679,3.63153,0.008317,0.008317,0.008317
19,1051.28,3.84074,3.04001,2.88013,0.57731,0.51434,0.52213,0.20294,4.13989,3.45019,3.33385,0.008218,0.008218,0.008218
20,1104.8,3.72341,2.93806,2.80591,0.59419,0.5143,0.53267,0.22548,4.60383,3.26573,3.57358,0.008119,0.008119,0.008119
21,1164.81,3.67326,2.77205,2.79325,0.69399,0.42832,0.54529,0.25018,3.99082,3.26104,3.28006,0.00802,0.00802,0.00802
22,1222.01,3.56978,2.7397,2.75428,0.66977,0.63978,0.66594,0.3133,3.85654,2.68421,3.15109,0.007921,0.007921,0.007921
