image_pair,ssim
train_video_003_frame_001133.jpg vs train_video_003_frame_001187.jpg,0.1939779377361094
train_video_003_frame_001187.jpg vs train_video_003_frame_001275.jpg,0.16983229555748885
train_video_003_frame_001275.jpg vs train_video_003_frame_001327.jpg,0.1984645564350214
train_video_003_frame_001327.jpg vs train_video_003_frame_001385.jpg,0.19073546841268066
train_video_003_frame_001385.jpg vs train_video_003_frame_001496.jpg,0.17525942962292965
train_video_003_frame_001496.jpg vs train_video_003_frame_001563.jpg,0.1774365560516329
train_video_003_frame_001563.jpg vs train_video_003_frame_002054.jpg,0.19460865342593078
train_video_003_frame_002054.jpg vs train_video_003_frame_002353.jpg,0.18870187033364258
train_video_003_frame_002353.jpg vs train_video_003_frame_002446.jpg,0.15841473004275053
train_video_003_frame_002446.jpg vs train_video_003_frame_002522.jpg,0.12310560540834004
train_video_003_frame_002522.jpg vs train_video_003_frame_002577.jpg,0.09758915327133537
train_video_003_frame_002577.jpg vs train_video_003_frame_003259.jpg,0.10700951158361419
train_video_003_frame_003259.jpg vs train_video_003_frame_003641.jpg,0.17346602652459406
train_video_003_frame_003641.jpg vs train_video_003_frame_003736.jpg,0.22652821700632703
train_video_003_frame_003736.jpg vs train_video_003_frame_003830.jpg,0.2283903657713837
train_video_003_frame_003830.jpg vs train_video_003_frame_003917.jpg,0.2679820767605688
train_video_003_frame_003917.jpg vs train_video_003_frame_003964.jpg,0.34631366175664224
train_video_003_frame_003964.jpg vs train_video_003_frame_004054.jpg,0.37141480892239914
train_video_003_frame_004054.jpg vs train_video_003_frame_004162.jpg,0.35683163774903903
train_video_003_frame_004162.jpg vs train_video_003_frame_004290.jpg,0.42501674882201324
train_video_003_frame_004290.jpg vs train_video_003_frame_004333.jpg,0.6852942793324279
train_video_003_frame_004333.jpg vs train_video_003_frame_004438.jpg,0.749067156672946
train_video_003_frame_004438.jpg vs train_video_003_frame_004586.jpg,0.719697690516323
train_video_003_frame_004586.jpg vs train_video_003_frame_004785.jpg,0.6720545969416123
train_video_003_frame_004785.jpg vs train_video_003_frame_004867.jpg,0.654667835152696
train_video_003_frame_004867.jpg vs train_video_003_frame_004977.jpg,0.6715524179278879
train_video_003_frame_004977.jpg vs train_video_003_frame_005083.jpg,0.6664085049561567
train_video_003_frame_005083.jpg vs train_video_003_frame_005132.jpg,0.7143169235619872
train_video_003_frame_005132.jpg vs train_video_003_frame_005252.jpg,0.7317487682493994
train_video_003_frame_005252.jpg vs train_video_003_frame_005322.jpg,0.8024364319279219
train_video_003_frame_005322.jpg vs train_video_003_frame_005382.jpg,0.8256421453899698
train_video_003_frame_005382.jpg vs train_video_003_frame_005460.jpg,0.7943610743072991
train_video_003_frame_005460.jpg vs train_video_003_frame_005619.jpg,0.5695018726362813
train_video_003_frame_005619.jpg vs train_video_003_frame_005767.jpg,0.25014610382489955
train_video_003_frame_005767.jpg vs train_video_003_frame_005841.jpg,0.1867889053145949
train_video_003_frame_005841.jpg vs train_video_003_frame_006024.jpg,0.18241793754712218
train_video_003_frame_006024.jpg vs train_video_003_frame_006107.jpg,0.20913167498612953
train_video_003_frame_006107.jpg vs train_video_003_frame_006280.jpg,0.1764911496187828
train_video_003_frame_006280.jpg vs train_video_003_frame_006592.jpg,0.16974246580909427
train_video_003_frame_006592.jpg vs train_video_003_frame_006646.jpg,0.1587856659395319
train_video_003_frame_006646.jpg vs train_video_003_frame_006883.jpg,0.16268859571625063
train_video_003_frame_006883.jpg vs train_video_003_frame_007381.jpg,0.1758739556123437
train_video_003_frame_007381.jpg vs train_video_003_frame_007386.jpg,0.19494272716340025
train_video_003_frame_007386.jpg vs train_video_003_frame_007390.jpg,0.19892169335283372
train_video_003_frame_007390.jpg vs train_video_003_frame_007396.jpg,0.17041098477429786
train_video_003_frame_007396.jpg vs train_video_003_frame_007399.jpg,0.18535938213525582
train_video_003_frame_007399.jpg vs train_video_003_frame_007403.jpg,0.1692777547933175
train_video_003_frame_007403.jpg vs train_video_003_frame_007412.jpg,0.13413613948087172
train_video_003_frame_007412.jpg vs train_video_003_frame_007416.jpg,0.11653146994331362
train_video_003_frame_007416.jpg vs train_video_003_frame_007420.jpg,0.10251534488170631
train_video_003_frame_007420.jpg vs train_video_003_frame_007429.jpg,0.08156428379546662
train_video_003_frame_007429.jpg vs train_video_003_frame_007437.jpg,0.08468993924648495
train_video_003_frame_007437.jpg vs train_video_003_frame_007514.jpg,0.060574675154562496
train_video_003_frame_007514.jpg vs train_video_003_frame_007635.jpg,0.06055100673734712
train_video_003_frame_007635.jpg vs train_video_003_frame_007688.jpg,0.08294391948727527
train_video_003_frame_007688.jpg vs train_video_004_frame_000594.jpg,0.10705476977967006
train_video_004_frame_000594.jpg vs train_video_004_frame_000799.jpg,0.537896563213631
train_video_004_frame_000799.jpg vs train_video_004_frame_000982.jpg,0.5739684851117449
train_video_004_frame_000982.jpg vs train_video_004_frame_001117.jpg,0.6889695927049568
train_video_004_frame_001117.jpg vs train_video_004_frame_001163.jpg,0.8322512674123969
train_video_004_frame_001163.jpg vs train_video_004_frame_001182.jpg,0.9090432968903951
train_video_004_frame_001182.jpg vs train_video_004_frame_001206.jpg,0.9496160301899627
train_video_004_frame_001206.jpg vs train_video_004_frame_001238.jpg,0.9749956077695114
train_video_004_frame_001238.jpg vs train_video_004_frame_001291.jpg,0.9782970652442039
train_video_004_frame_001291.jpg vs train_video_004_frame_001322.jpg,0.9706447862171965
train_video_004_frame_001322.jpg vs train_video_004_frame_001576.jpg,0.911234828787449
train_video_004_frame_001576.jpg vs train_video_004_frame_001751.jpg,0.8410444459985544
train_video_004_frame_001751.jpg vs train_video_004_frame_001765.jpg,0.8397769666825751
train_video_004_frame_001765.jpg vs train_video_004_frame_001788.jpg,0.8211286835976238
train_video_004_frame_001788.jpg vs train_video_004_frame_001815.jpg,0.8024896351606637
train_video_004_frame_001815.jpg vs train_video_004_frame_001836.jpg,0.7838074236446922
train_video_004_frame_001836.jpg vs train_video_004_frame_001866.jpg,0.7684449266849893
train_video_004_frame_001866.jpg vs train_video_004_frame_001886.jpg,0.7730800301798768
train_video_004_frame_001886.jpg vs train_video_004_frame_001903.jpg,0.7698989059453172
train_video_004_frame_001903.jpg vs train_video_004_frame_001916.jpg,0.7771024038216792
train_video_004_frame_001916.jpg vs train_video_004_frame_002017.jpg,0.6933434236574855
train_video_004_frame_002017.jpg vs train_video_004_frame_002092.jpg,0.6869288084028001
train_video_004_frame_002092.jpg vs train_video_004_frame_002244.jpg,0.6080980965299426
train_video_004_frame_002244.jpg vs train_video_004_frame_003163.jpg,0.5093199891503314
train_video_004_frame_003163.jpg vs train_video_004_frame_003208.jpg,0.49548178832816725
train_video_004_frame_003208.jpg vs train_video_005_frame_000052.jpg,0.47685828830365795
train_video_005_frame_000052.jpg vs train_video_005_frame_000142.jpg,0.5219682349208316
train_video_005_frame_000142.jpg vs train_video_005_frame_000529.jpg,0.5011843657470054
train_video_005_frame_000529.jpg vs train_video_007_frame_000160.jpg,0.33028704544089155
train_video_007_frame_000160.jpg vs train_video_007_frame_000343.jpg,0.3490763603779061
train_video_007_frame_000343.jpg vs train_video_007_frame_000674.jpg,0.32890228064259613
train_video_007_frame_000674.jpg vs train_video_007_frame_000733.jpg,0.32269107980606926
train_video_007_frame_000733.jpg vs train_video_007_frame_000838.jpg,0.2675507720368805
train_video_007_frame_000838.jpg vs train_video_007_frame_000881.jpg,0.21746304878087994
train_video_007_frame_000881.jpg vs train_video_007_frame_001116.jpg,0.22125512979539988
train_video_007_frame_001116.jpg vs train_video_007_frame_001197.jpg,0.23940932924174102
train_video_007_frame_001197.jpg vs train_video_007_frame_001340.jpg,0.26510143774628353
train_video_007_frame_001340.jpg vs train_video_007_frame_001420.jpg,0.3515348552187823
train_video_007_frame_001420.jpg vs train_video_007_frame_001442.jpg,0.5156033306721729
