image_pair,ssim
fire-1-_png.rf.84b22241a67c7f1bc97d62decdaaf762.jpg vs fire-10-_png.rf.9f7c09b47e45b31a2a4e939de8be4b09.jpg,0.2435091736316785
fire-10-_png.rf.9f7c09b47e45b31a2a4e939de8be4b09.jpg vs fire-100-_png.rf.20b623f9f809672a6555d57f805acbfc.jpg,0.18816040953475197
fire-100-_png.rf.20b623f9f809672a6555d57f805acbfc.jpg vs fire-1000-_png.rf.4d4ce8842eb9d5f6cfa1cc7901df191e.jpg,0.198204629465126
fire-1000-_png.rf.4d4ce8842eb9d5f6cfa1cc7901df191e.jpg vs fire-1004-_png.rf.f531115430cc8bacb481886817d2f6eb.jpg,0.48656813298476603
fire-1004-_png.rf.f531115430cc8bacb481886817d2f6eb.jpg vs fire-1008-_png.rf.dd745e9593520d5cda1b5bffa234ec43.jpg,0.411422651540909
fire-1008-_png.rf.dd745e9593520d5cda1b5bffa234ec43.jpg vs fire-1011-_png.rf.28e029dbfeffe3d69f60887596ec60a9.jpg,0.47108107990638054
fire-1011-_png.rf.28e029dbfeffe3d69f60887596ec60a9.jpg vs fire-1014-_png.rf.d86bfc9637ea4321fcb685329b23ab23.jpg,0.4954832176375748
fire-1014-_png.rf.d86bfc9637ea4321fcb685329b23ab23.jpg vs fire-1019-_png.rf.efd0e6cbaf63f1d25bbdea7f636de5ae.jpg,0.4815374030600457
fire-1019-_png.rf.efd0e6cbaf63f1d25bbdea7f636de5ae.jpg vs fire-1028-_png.rf.2e8625d78a2df6a7d93c54adfc501f78.jpg,0.4172155039878676
fire-1028-_png.rf.2e8625d78a2df6a7d93c54adfc501f78.jpg vs fire-1030-_png.rf.46a86eb7aa448c2dabf18d3e138d39b3.jpg,0.4883149597382187
fire-1030-_png.rf.46a86eb7aa448c2dabf18d3e138d39b3.jpg vs fire-1032-_png.rf.74dced1c9017d295b67a22ee3cb5e8e4.jpg,0.38490121523060633
fire-1032-_png.rf.74dced1c9017d295b67a22ee3cb5e8e4.jpg vs fire-1034-_png.rf.44cb0121d60bded7de78c55b3760c31d.jpg,0.40559996240950696
fire-1034-_png.rf.44cb0121d60bded7de78c55b3760c31d.jpg vs fire-1036-_png.rf.8d796d1b3ca28f8517063eb1137c8e67.jpg,0.39995514260953574
fire-1036-_png.rf.8d796d1b3ca28f8517063eb1137c8e67.jpg vs fire-1038-_png.rf.52d474213549388503ab2f1efc433688.jpg,0.39578016524171344
fire-1038-_png.rf.52d474213549388503ab2f1efc433688.jpg vs fire-1040-_png.rf.6d1b00a7597c9f99b8618ac2a96c473d.jpg,0.42886796904936686
fire-1040-_png.rf.6d1b00a7597c9f99b8618ac2a96c473d.jpg vs fire-1045-_png.rf.66b974019f2bf7c72ca2f40b774a59a9.jpg,0.43054877893956
fire-1045-_png.rf.66b974019f2bf7c72ca2f40b774a59a9.jpg vs fire-1047-_png.rf.2db08c1975031c0ea719544c4787f208.jpg,0.48636485680538954
fire-1047-_png.rf.2db08c1975031c0ea719544c4787f208.jpg vs fire-1049-_png.rf.ce5a2f3621b3a4a605a7bd46629400ce.jpg,0.47302024710725366
fire-1049-_png.rf.ce5a2f3621b3a4a605a7bd46629400ce.jpg vs fire-1052-_png.rf.cfe1972eddc23c19a64a64c69b2c5bb9.jpg,0.4415330988218828
fire-1052-_png.rf.cfe1972eddc23c19a64a64c69b2c5bb9.jpg vs fire-1057-_png.rf.ad00b4a2318fe86095149f5d63caf533.jpg,0.4609559683966628
fire-1057-_png.rf.ad00b4a2318fe86095149f5d63caf533.jpg vs fire-1063-_png.rf.215d648efc6f19c4dd24be188f962a34.jpg,0.5225905590360763
fire-1063-_png.rf.215d648efc6f19c4dd24be188f962a34.jpg vs fire-1066-_png.rf.5ae88f02a9dd833f35d59b7d601d1b8a.jpg,0.540614037129954
