epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.424,2.4104,3.71985,0.00861,0.17167,0.15233,0.07833,0.01774,2.61607,nan,0.01155,0.00330623,0.00330623,0.0702439
2,84.9867,2.43109,2.54821,0.00889,0.51165,0.33046,0.35188,0.10023,2.50429,2.87642,0.01111,0.00657383,0.00657383,0.0401782
3,125.644,2.29068,2.59027,0.00835,0.1995,0.2043,0.15141,0.05545,2.54285,2.84396,0.01136,0.00977544,0.00977544,0.0100464
4,162.895,2.3321,2.42376,0.00821,0.43026,0.319,0.2878,0.0953,2.42458,3.1282,0.01005,0.009703,0.009703,0.009703
5,202.607,2.24782,2.33761,0.00817,0.11991,0.02151,0.01322,0.00757,2.98381,5.13742,0.01418,0.009604,0.009604,0.009604
6,242.58,2.32778,2.24707,0.00837,0.52138,0.42364,0.45011,0.16456,2.24675,2.10162,0.00921,0.009505,0.009505,0.009505
7,283.251,2.16596,2.09226,0.00757,0.46993,0.40515,0.3591,0.13036,2.25349,2.34053,0.00968,0.009406,0.009406,0.009406
8,324.009,2.14805,2.01217,0.00755,0.17725,0.13799,0.06643,0.02268,2.65636,4.44104,0.01113,0.009307,0.009307,0.009307
9,361.803,2.08623,1.87304,0.00715,0.58685,0.55556,0.55092,0.20617,2.18985,1.79037,0.00911,0.009208,0.009208,0.009208
10,401.893,2.06242,1.88061,0.00704,0.48953,0.4319,0.444,0.17593,2.09554,2.04372,0.0083,0.009109,0.009109,0.009109
11,442.449,2.12716,1.81218,0.00732,0.40724,0.14337,0.12062,0.03993,2.6215,3.75804,0.01231,0.00901,0.00901,0.00901
12,483.067,2.05914,1.7321,0.00704,0.54142,0.40143,0.40072,0.16708,2.06995,2.20825,0.00892,0.008911,0.008911,0.008911
13,523.339,2.00652,1.67966,0.00694,0.3635,0.27419,0.25682,0.0804,2.28123,2.63291,0.00956,0.008812,0.008812,0.008812
14,560.924,2.02955,1.65318,0.00687,0.56288,0.41219,0.46732,0.19148,1.99455,2.06281,0.00777,0.008713,0.008713,0.008713
15,601.46,1.9884,1.56494,0.00675,0.51986,0.38351,0.37737,0.16064,2.04225,2.38044,0.00803,0.008614,0.008614,0.008614
16,641.616,1.98532,1.59747,0.00681,0.73508,0.49462,0.60017,0.24116,2.03954,1.76783,0.00811,0.008515,0.008515,0.008515
17,682.147,1.94988,1.52054,0.00655,0.70358,0.65054,0.67648,0.26596,2.05147,1.44729,0.00824,0.008416,0.008416,0.008416
18,722.389,2.00271,1.45576,0.00677,0.67071,0.55735,0.58586,0.23593,2.09159,1.69699,0.00824,0.008317,0.008317,0.008317
19,759.872,1.92925,1.45738,0.00652,0.37683,0.21147,0.18221,0.07167,2.13826,3.84998,0.00844,0.008218,0.008218,0.008218
20,799.989,1.90099,1.44205,0.00624,0.71063,0.58065,0.6553,0.289,1.9649,1.50749,0.00794,0.008119,0.008119,0.008119
21,840.693,1.87052,1.34367,0.00633,0.77359,0.58961,0.68892,0.32832,1.87752,1.38351,0.00752,0.00802,0.00802,0.00802
22,881.163,1.88749,1.33627,0.00637,0.6923,0.64111,0.67948,0.2909,1.95787,1.43295,0.00775,0.007921,0.007921,0.007921
23,921.839,1.92337,1.39738,0.00647,0.73835,0.61697,0.70172,0.34557,1.83684,1.46468,0.00717,0.007822,0.007822,0.007822
24,959.222,1.92045,1.33717,0.00638,0.47165,0.29211,0.32694,0.12907,2.29616,2.7429,0.00949,0.007723,0.007723,0.007723
25,999.694,1.85522,1.33359,0.00626,0.70117,0.64516,0.68185,0.31231,1.90646,1.43636,0.00751,0.007624,0.007624,0.007624
26,1040.26,1.85594,1.29714,0.00618,0.78674,0.6828,0.72678,0.32937,1.95073,1.52869,0.0078,0.007525,0.007525,0.007525
27,1080.45,1.83424,1.25133,0.00623,0.70166,0.58961,0.65835,0.30217,2.00481,1.43905,0.00798,0.007426,0.007426,0.007426
28,1120.54,1.8371,1.27684,0.00614,0.72499,0.64158,0.66869,0.30686,2.01649,1.49392,0.00805,0.007327,0.007327,0.007327
29,1157.36,1.85462,1.27811,0.00636,0.7239,0.64337,0.70944,0.32385,1.96007,1.40784,0.00788,0.007228,0.007228,0.007228
30,1197.99,1.79863,1.18137,0.00586,0.60393,0.50717,0.52635,0.23781,2.06497,1.92471,0.00827,0.007129,0.007129,0.007129
31,1238.97,1.76091,1.10034,0.00576,0.78545,0.67563,0.74737,0.36,1.89952,1.2183,0.00751,0.00703,0.00703,0.00703
32,1279.61,1.77724,1.16698,0.00589,0.6333,0.59426,0.64301,0.27413,1.96946,1.62621,0.00771,0.006931,0.006931,0.006931
33,1319.39,1.77058,1.1702,0.0059,0.70222,0.6635,0.69231,0.31272,1.94171,1.42677,0.0078,0.006832,0.006832,0.006832
34,1357.02,1.76522,1.13591,0.00576,0.78478,0.68817,0.7436,0.33373,1.92593,1.37472,0.0077,0.006733,0.006733,0.006733
35,1397.58,1.7629,1.12066,0.00567,0.82994,0.68217,0.76419,0.36958,1.97721,1.16943,0.00789,0.006634,0.006634,0.006634
36,1438.24,1.72191,1.03742,0.00569,0.68499,0.66129,0.68386,0.33142,1.89994,1.24934,0.00755,0.006535,0.006535,0.006535
37,1478.68,1.7891,1.10866,0.00575,0.8244,0.74194,0.79709,0.3764,1.92433,1.10952,0.00746,0.006436,0.006436,0.006436
38,1518.42,1.7277,1.04993,0.00559,0.65703,0.52688,0.54145,0.23327,1.94995,1.94691,0.00775,0.006337,0.006337,0.006337
39,1556.45,1.68337,1.02217,0.00554,0.71998,0.60036,0.67285,0.3414,1.91719,1.40649,0.00745,0.006238,0.006238,0.006238
40,1596.47,1.72144,0.98037,0.00561,0.75576,0.75448,0.7746,0.36225,1.98225,1.14837,0.00779,0.006139,0.006139,0.006139
41,1637.59,1.71162,1.02261,0.00539,0.58771,0.56272,0.60087,0.26963,2.02033,1.59499,0.00821,0.00604,0.00604,0.00604
42,1677.71,1.68414,1.0284,0.00539,0.80797,0.70881,0.776,0.38246,1.91076,1.19453,0.00744,0.005941,0.005941,0.005941
43,1718.14,1.65603,0.91546,0.00537,0.64624,0.48029,0.53368,0.22628,2.10085,2.12365,0.00822,0.005842,0.005842,0.005842
44,1756.63,1.62851,0.92574,0.00516,0.79281,0.71505,0.77832,0.39228,1.86672,1.09448,0.00715,0.005743,0.005743,0.005743
45,1797.06,1.65006,0.93965,0.00534,0.7517,0.44086,0.5265,0.24904,2.08903,1.97452,0.00828,0.005644,0.005644,0.005644
46,1837.47,1.65366,0.93516,0.00527,0.8679,0.73835,0.83495,0.39912,1.90884,0.9869,0.00729,0.005545,0.005545,0.005545
47,1877.97,1.66979,0.93655,0.0054,0.73361,0.74373,0.76135,0.37471,1.90159,1.11019,0.0074,0.005446,0.005446,0.005446
48,1918.42,1.64848,0.90603,0.0053,0.82415,0.77599,0.81328,0.39851,1.92151,0.95229,0.00778,0.005347,0.005347,0.005347
49,1955.75,1.58118,0.871,0.00503,0.78537,0.71685,0.77383,0.38099,1.85257,1.08414,0.00737,0.005248,0.005248,0.005248
50,1996.38,1.58917,0.88436,0.00517,0.85849,0.72843,0.81013,0.41896,1.7887,1.05134,0.00681,0.005149,0.005149,0.005149
51,2037.37,1.55979,0.84733,0.00508,0.84583,0.71326,0.80808,0.40381,1.85158,1.11406,0.00717,0.00505,0.00505,0.00505
52,2078.44,1.54141,0.83658,0.00481,0.80312,0.7724,0.80917,0.41426,1.89705,0.95556,0.00746,0.004951,0.004951,0.004951
53,2118.37,1.56933,0.86687,0.00501,0.82132,0.66725,0.75636,0.37164,1.8994,1.14705,0.00742,0.004852,0.004852,0.004852
54,2156.94,1.53733,0.81887,0.00494,0.74938,0.69713,0.73345,0.37121,1.95476,1.2561,0.00748,0.004753,0.004753,0.004753
55,2197.77,1.55289,0.84465,0.00491,0.82409,0.7892,0.82852,0.43563,1.78253,0.89719,0.00669,0.004654,0.004654,0.004654
56,2238.58,1.53786,0.83143,0.00496,0.85503,0.69892,0.794,0.38933,1.90446,0.97661,0.00772,0.004555,0.004555,0.004555
57,2279.41,1.50479,0.81262,0.00474,0.84734,0.59683,0.67808,0.27877,2.08547,1.59674,0.00836,0.004456,0.004456,0.004456
58,2317.88,1.50525,0.82117,0.00472,0.83487,0.7724,0.82506,0.43938,1.80201,0.92627,0.00707,0.004357,0.004357,0.004357
59,2358.12,1.48431,0.78446,0.00461,0.83638,0.76882,0.80911,0.41973,1.80034,1.00458,0.00692,0.004258,0.004258,0.004258
60,2398.81,1.50008,0.73178,0.00476,0.80193,0.80539,0.84832,0.42486,1.86582,0.90278,0.00719,0.004159,0.004159,0.004159
61,2438.48,1.47257,0.76726,0.00465,0.85401,0.74194,0.7835,0.40613,1.84452,1.12653,0.00707,0.00406,0.00406,0.00406
62,2478.88,1.44321,0.73024,0.00459,0.78413,0.8137,0.82437,0.4311,1.82473,0.92857,0.0071,0.003961,0.003961,0.003961
63,2517.08,1.44647,0.72728,0.00444,0.82865,0.80108,0.83384,0.4243,1.85687,0.83626,0.00715,0.003862,0.003862,0.003862
64,2556.94,1.45755,0.69906,0.00456,0.82705,0.77129,0.8312,0.43532,1.8079,0.90189,0.00696,0.003763,0.003763,0.003763
65,2597.29,1.42392,0.70598,0.0044,0.86141,0.7957,0.85542,0.43711,1.85905,0.74394,0.0071,0.003664,0.003664,0.003664
66,2637.48,1.44295,0.71773,0.00443,0.82856,0.71888,0.79553,0.38933,1.84718,1.03903,0.00721,0.003565,0.003565,0.003565
67,2678.02,1.40076,0.6949,0.00438,0.83938,0.73477,0.81391,0.42361,1.87184,0.89686,0.00739,0.003466,0.003466,0.003466
68,2716.11,1.42209,0.7113,0.00434,0.88133,0.74535,0.84871,0.44891,1.78672,0.91179,0.00702,0.003367,0.003367,0.003367
69,2751.93,1.38722,0.67041,0.00441,0.82051,0.7619,0.83047,0.44415,1.80527,0.85286,0.00693,0.003268,0.003268,0.003268
70,2768.11,1.41091,0.69892,0.00435,0.85494,0.8133,0.87696,0.46883,1.77224,0.74867,0.007,0.003169,0.003169,0.003169
71,2782.89,1.38314,0.66767,0.00426,0.84876,0.79452,0.84219,0.44765,1.83882,0.80575,0.00722,0.00307,0.00307,0.00307
72,2797.55,1.38288,0.66552,0.00424,0.84862,0.76355,0.8551,0.44703,1.77977,0.80156,0.00688,0.002971,0.002971,0.002971
73,2812.28,1.3576,0.65577,0.00413,0.83967,0.81657,0.87406,0.46035,1.84839,0.69274,0.0072,0.002872,0.002872,0.002872
74,2826.94,1.34211,0.64868,0.00398,0.87856,0.77788,0.86181,0.45611,1.77406,0.76291,0.0069,0.002773,0.002773,0.002773
75,2841.54,1.3243,0.63529,0.00412,0.82618,0.7957,0.85366,0.4358,1.77918,0.88205,0.00685,0.002674,0.002674,0.002674
76,2856.3,1.34472,0.62607,0.00397,0.85819,0.81183,0.86617,0.46109,1.78812,0.81501,0.00688,0.002575,0.002575,0.002575
77,2870.94,1.30965,0.63572,0.00393,0.85199,0.75986,0.8385,0.44238,1.80149,0.83357,0.00704,0.002476,0.002476,0.002476
78,2885.6,1.31826,0.62917,0.00409,0.88518,0.78853,0.86394,0.4616,1.79281,0.78048,0.00703,0.002377,0.002377,0.002377
79,2900.32,1.2935,0.60011,0.00396,0.86102,0.78853,0.85087,0.44544,1.83056,0.84709,0.0073,0.002278,0.002278,0.002278
80,2914.99,1.29187,0.59955,0.00392,0.79292,0.76854,0.825,0.43418,1.82587,0.94647,0.00714,0.002179,0.002179,0.002179
81,2929.69,1.26256,0.58067,0.00379,0.8359,0.78674,0.85127,0.45045,1.84681,0.83193,0.00707,0.00208,0.00208,0.00208
82,2944.43,1.2908,0.61401,0.00383,0.80097,0.81495,0.84976,0.45997,1.80976,0.80123,0.00696,0.001981,0.001981,0.001981
83,2959.07,1.25498,0.58534,0.00379,0.83823,0.83577,0.85878,0.45722,1.87729,0.68455,0.00719,0.001882,0.001882,0.001882
84,2973.73,1.2527,0.57875,0.00383,0.81084,0.8143,0.8462,0.47295,1.76405,0.725,0.00662,0.001783,0.001783,0.001783
85,2988.6,1.25713,0.58171,0.0037,0.88433,0.7673,0.85076,0.47436,1.75433,0.73332,0.00664,0.001684,0.001684,0.001684
86,3003.25,1.23854,0.57337,0.00366,0.89239,0.77778,0.86221,0.4648,1.80113,0.80887,0.00686,0.001585,0.001585,0.001585
87,3017.88,1.24542,0.55911,0.00371,0.87896,0.79391,0.85943,0.47342,1.77679,0.77207,0.00688,0.001486,0.001486,0.001486
88,3032.61,1.22564,0.54774,0.0035,0.87313,0.76466,0.8545,0.46732,1.7986,0.71586,0.00684,0.001387,0.001387,0.001387
89,3047.23,1.21568,0.576,0.00359,0.85672,0.80368,0.84041,0.467,1.7729,0.808,0.00688,0.001288,0.001288,0.001288
90,3061.84,1.23004,0.59437,0.00374,0.85131,0.82258,0.86125,0.46159,1.83368,0.69268,0.00702,0.001189,0.001189,0.001189
91,3076.99,1.18719,0.52212,0.00404,0.87425,0.79032,0.86394,0.46642,1.77814,0.80391,0.00672,0.00109,0.00109,0.00109
92,3091.58,1.14178,0.46991,0.00394,0.79139,0.84981,0.86194,0.46183,1.80047,0.77123,0.00685,0.000991,0.000991,0.000991
93,3106.09,1.16664,0.51117,0.00397,0.86466,0.80287,0.85446,0.47011,1.79603,0.73989,0.00675,0.000892,0.000892,0.000892
94,3120.71,1.13328,0.45655,0.00383,0.90862,0.73297,0.85151,0.46182,1.84066,0.7604,0.00709,0.000793,0.000793,0.000793
95,3135.29,1.12147,0.43663,0.00382,0.83006,0.84031,0.85214,0.46924,1.80215,0.69574,0.00695,0.000694,0.000694,0.000694
96,3149.82,1.14431,0.49238,0.00392,0.85641,0.79928,0.85946,0.47759,1.79209,0.7213,0.0068,0.000595,0.000595,0.000595
97,3164.51,1.11062,0.47119,0.00383,0.88511,0.78315,0.86796,0.47049,1.8183,0.70869,0.00708,0.000496,0.000496,0.000496
98,3179.01,1.08952,0.45282,0.00375,0.84506,0.79173,0.86163,0.47014,1.76545,0.77008,0.00676,0.000397,0.000397,0.000397
99,3193.61,1.10611,0.45105,0.00381,0.84762,0.81004,0.86929,0.47542,1.80266,0.72489,0.00693,0.000298,0.000298,0.000298
100,3208.21,1.08654,0.44647,0.00371,0.86457,0.80083,0.87587,0.48183,1.76718,0.72072,0.00671,0.000199,0.000199,0.000199
